LKQ code;IC - konkurenční kód;Název;oe;Typ auta;Výskyt registrovaných aut na trhu;EAN;Odhad prodeje 2026
ST-ABA14780;5502-00-0068943MP;absorber předního nárazníku;51118098671;BMW | 5 (G30, F90) [09\16-] | 518 d Mild-Hybrid (1995ccm\100kW\136HP) [07\20-06\23];1156;33-7015;9
ST-ABA17220;5502-00-1307981P;absorber zadního nárazníku;850902944R;DACIA | SANDERO III [01\21-] | 1.0 SCe 65 (999ccm\49kW\67HP) [01\21-];501;P2-DA-SAN5-W1;8
ST-ABA28890-1;5502-00-3522940P;držák předního nárazníku;2058855902;MERCEDES-BENZ | C-CLASS (W205) [07\13-02\23] | AMG C 43 4-matic (205.064) (2996ccm\287kW\390HP) [05\18-05\21];171;23-7034;1
ST-ABA34650;5502-00-5547980P;absorber zadního nárazníku;9811280580;PEUGEOT | 3008 II SUV (MC_, MR_, MJ_, M4_) [05\16-] | 1.2 THP/ PureTech 130 (MRHNSM, MRHNSU, MRHNSJ, MRHNYW,... (1199ccm\96kW\131HP) [05\16-];2062;P2-300817-W;41
ST-ABA34700;5504-00-5517940P;absorber předního nárazníku;9814133480;PEUGEOT | 2008 I (CU_) [03\13-] | 1.2 PureTech 82 (1199ccm\61kW\82HP) [01\18-12\19];10589;P1-200816-W1;296
ST-ABA34770;5502-00-0559942P;absorber předního nárazníku;9811839880;CITROËN | JUMPY dodávka (V_) [04\16-] | 1.5 BlueHDi 100 (1499ccm\75kW\102HP) [06\18-];16645;PG0709-017AA;466
ST-ABA36740;5502-00-5089980P;absorber zadního nárazníku;4423756;FIAT | TALENTO bus (296_) [06\16-] | 1.6 D (1598ccm\107kW\145HP) [06\16-];5418;100.17345;130
ST-ABA42750-1;6502-08-9568209P;absorber předního nárazníku;7E0805962A;VOLKSWAGEN | CALIFORNIA T6 Camper (SGC, SGG, SHC) [04\15-08\24] | 2.0 TDI (1968ccm\103kW\140HP) [04\15-12\19];14304;WW0811-017AA;401
ST-ABA84790-L;5502-00-1601943P;L držák výztuhy předního nárazníku;G51151KEMA;NISSAN | JUKE (F15) [06\10-12\19] | 1.2 DIG-T (1197ccm\85kW\115HP) [05\14-12\19];6643;DS5A19BL;159
ST-ABA84790-R;5502-00-1601944P;P držák výztuhy předního nárazníku;G51141KEMA;NISSAN | JUKE (F15) [06\10-12\19] | 1.2 DIG-T (1197ccm\85kW\115HP) [05\14-12\19];6643;DS5A19BR;159
ST-ABB12620-L;5504-00-0032931P;L držák předního nárazníku;4G0807283;AUDI | A6 Allroad C7 (4GH, 4GJ) [01\12-09\18] | 3.0 TDI quattro (2967ccm\150kW\204HP) [01\12-12\14];6290;UAE05-28111;75
